Timestamp,sWorld.GetCurrentDiff(),sWorld.GetAverageDiff(),sWorld.GetMaxDiff(),virtualMemUsedByMe,activityPercentage,activityPercentageMod,activeBots,playerBots.size(),avarageLevel1-9,avarageLevel10-19,avarageLevel20-29,avarageLevel30-39,avarageLevel40-49,avarageLevel50-59,avarageLevel60,avarageGold,avarageGearScore
68275, 0,0,0,1.2577e+09,100,50,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
69643, 1248,342,1248,1.45528e+09,0,-50,0,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
70711, 327,221,1248,1.5956e+09,72.94,22.94,6,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
71650, 63,177,1248,1.70302e+09,59.97,9.97,6,22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
72606, 62,154,1248,1.81414e+09,57.38,7.38,12,29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
73534, 61,146,1248,1.95376e+09,55.32,5.32,16,36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
74476, 62,134,1248,2.03722e+09,57.38,7.38,18,43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
75393, 61,136,1248,2.19244e+09,55.12,5.12,15,50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
76316, 61,125,1248,2.24575e+09,59.02,9.02,22,57,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
77263, 61,115,1248,2.26944e+09,60.17,10.17,18,64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
78178, 64,113,1248,2.33597e+09,59.54,9.54,20,71,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
79100, 62,109,1248,2.38732e+09,61.05,11.05,22,78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
80001, 63,103,1248,2.4106e+09,62.72,12.72,29,85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
80905, 63,101,1248,2.4662e+09,63.01,13.01,36,92,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
81815, 63,99,1248,2.51752e+09,64.12,14.12,44,99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
82745, 63,95,1248,2.52522e+09,65.77,15.77,48,106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
83689, 61,93,1248,2.554e+09,66.54,16.54,56,113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
84638, 62,91,1248,2.60936e+09,67.73,17.73,60,120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
85555, 62,92,1248,2.69061e+09,68.16,18.16,68,127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
86511, 64,94,1248,2.76451e+09,68.92,18.92,77,134,0.0000,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
87462, 61,91,1248,2.78723e+09,71.16,21.16,79,141,0.0000,0.0176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
88447, 185,90,1248,2.81958e+09,71.91,21.91,81,148,0.0000,0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
89400, 61,89,1248,2.86989e+09,73.07,23.07,92,155,0.0000,0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
90305, 62,88,1248,2.87845e+09,74.24,24.24,98,162,0.0000,0.0107,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,
91272, 152,88,1248,2.93344e+09,75.16,25.16,106,169,0.0000,0.0090,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,
92192, 59,87,1248,2.95931e+09,76.54,26.54,117,176,0.0000,0.0083,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,
93132, 62,86,1248,2.9841e+09,77.73,27.73,126,183,0.0000,0.0077,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,
94119, 388,86,1248,3.00496e+09,78.67,28.67,138,189,0.0000,0.0071,0.0000,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,
95598, 1479,91,1479,3.12572e+09,78.51,28.51,146,196,0.0000,0.0066,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,
96550, 61,90,1479,3.14525e+09,80.86,30.86,155,203,0.0000,0.0060,0.0000,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,
97457, 63,92,1479,3.23305e+09,81.24,31.24,165,210,0.0000,0.0051,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,
98407, 62,91,1479,3.26504e+09,82.98,32.98,174,217,0.0000,0.0127,0.0000,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,
99316, 62,91,1479,3.28997e+09,83.87,33.87,181,224,0.0000,0.0115,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,
100241, 62,90,1479,3.29748e+09,85.22,35.22,186,231,0.0000,0.0107,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,
101169, 63,89,1479,3.31397e+09,86.38,36.38,194,238,0.0000,0.0097,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,
102153, 85,88,1479,3.33634e+09,87.55,37.55,205,245,0.0000,0.0136,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,
103114, 61,87,1479,3.3668e+09,88.73,38.73,216,252,0.0000,0.0197,0.0023,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,
104065, 63,87,1479,3.40886e+09,89.66,39.66,230,259,0.0000,0.0189,0.0022,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,
105008, 62,86,1479,3.42131e+09,91.05,41.05,234,266,0.0399,0.0175,0.0036,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,
105968, 63,86,1479,3.43096e+09,91.99,41.99,242,273,0.0368,0.0225,0.0033,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,
106909, 61,85,1479,3.43951e+09,93.39,43.39,252,280,0.0342,0.0212,0.0031,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000,
107859, 62,84,1479,3.44992e+09,94.6,44.6,259,287,0.0289,0.0193,0.0044,0.0048,0.0000,0.0000,0.0000,0.5294,0.0000,
108793, 66,86,1479,3.49511e+09,95.04,45.04,271,294,0.0255,0.0203,0.0042,0.0046,0.0000,0.0000,0.0000,0.5036,0.0000,
109934, 242,88,1479,3.56615e+09,96.06,46.06,277,301,0.0531,0.0187,0.0055,0.0043,0.0000,0.0000,0.0000,0.4730,0.0000,
110910, 155,88,1479,3.61029e+09,97.58,47.58,287,308,0.0453,0.0178,0.0052,0.0059,0.0000,0.0000,0.0000,0.4466,0.0000,
111834, 51,87,1479,3.62666e+09,98.96,48.96,296,315,0.0410,0.0225,0.0049,0.0056,0.0000,0.0000,0.0000,0.4251,0.0000,
112786, 53,87,1479,3.63396e+09,99.89,49.89,303,322,0.0608,0.0205,0.0055,0.0054,0.0000,0.0000,0.0000,0.4065,0.0000,
113715, 67,87,1479,3.65338e+09,100,50,309,329,0.0581,0.0188,0.0051,0.0049,0.0000,0.0000,0.0000,0.3806,0.0000,
114635, 61,86,1479,3.66837e+09,100,50,322,336,0.0544,0.0182,0.0048,0.0046,0.0000,0.0000,0.0000,0.3625,0.0000,
115536, 115,86,1479,3.68033e+09,100,50,329,342,0.0576,0.0168,0.0045,0.0044,0.0000,0.0000,0.0000,0.3447,0.0000,
116476, 64,86,1479,3.68884e+09,100,50,338,348,0.0528,0.0159,0.0042,0.0043,0.0000,0.0000,0.0000,0.3292,0.0000,
117590, 290,87,1479,3.74203e+09,100,50,346,355,0.0476,0.0198,0.0049,0.0050,0.0000,0.0000,0.0000,0.3137,0.0000,
118521, 64,86,1479,3.77e+09,100,50,355,362,0.0449,0.0185,0.0047,0.0047,0.0000,0.0000,0.0000,0.3010,0.0000,
