Arena,"POINT(-301.953 -14253.9)",5,Stranglethorn Vale The Cape of Stranglethorn,
Silverleaf,"POINT(-9403.97 -3659.09)",3,Durotar Razormane Grounds,
Small Lockbox,"POINT(1405.5 1395.32)",3,Western Plaguelands Ruins of Andorhal,
Moon Over the Vale,"POINT(-339.585 -11983.2)",3,Stranglethorn Vale Bal'lal Ruins,
Barrel of Sweet Nectar,"POINT(-505.39 -14703.6)",3,Stranglethorn Vale Wild Shore,
Truesilver Deposit,"POINT(2475.08 -6433.6)",3,Badlands,
Silverleaf,"POINT(-8805 -4084)",3,Durotar,
Food Crate,"POINT(-9139.3 -2892.8)",3,Durotar,
Standing Post - MFF,"POINT(-9930.94 -4639.7)",5,The Barrens Ratchet,
Anvil,"POINT(422.414 -5573.68)",8,Dun Morogh Kharanos,
Wooden Chair,"POINT(1189.06 -4825.41)",7,Dun Morogh,
Bruiseweed,"POINT(-10621 -781.65)",3,Ashenvale Xavian,
Apple Bob,"POINT(-14925.6 -3442.13)",3,Desolace Nijel's Point,
Mageroyal,"POINT(-14105.8 1273.92)",3,Darkshore Twilight Vale,
Bottle of Disease,"POINT(-11027.2 -1770.15)",3,Ashenvale The Dor'Danil Barrow Den,
Spider Egg,"POINT(15754 -9988.27)",10,Zul'Gurub,
Dwarven Campfire,"POINT(3017.29 -6115.16)",8,Loch Modan Stonesplinter Valley,
Bruiseweed,"POINT(2630 -3876)",3,Wetlands Thelgen Rock,
Mithril Deposit,"POINT(732.88 643.3)",3,Alterac Mountains Crushridge Hold,
G_Pumpkin_03,"POINT(-9291.9 -2290.38)",5,Durotar,
Gold Vein,"POINT(634 696.321)",3,Alterac Mountains Crushridge Hold,
Bonfire,"POINT(1706.75 -8132.84)",8,Burning Steppes The Pillar of Ash,
Lights,"POINT(-641.224 -8803.39)",5,Stormwind City,
Silverleaf,"POINT(3499 -5190)",3,Loch Modan,
G_Pumpkin_01,"POINT(-517.066 1746.07)",5,Tirisfal Glades Ruins of Lordaeron,
Bat01,"POINT(-16819.2 -5272.77)",5,Desolace Shadowprey Village,
Cooking Fire,"POINT(1578.48 -8024.92)",8,Burning Steppes,
Campfire,"POINT(-8136.65 772.57)",8,Azshara Ursolan,
Tin Vein,"POINT(2926.38 -9343.75)",3,Redridge Mountains Stonewatch Tower,
Firebloom,"POINT(-10620 -12630)",3,Tanaris Southmoon Ruins,
Goldthorn,"POINT(492 615.474)",3,Alterac Mountains Ruins of Alterac,
Gold Vein,"POINT(3232 -6776)",3,Badlands Valley of Fangs,
